NewQuestion,MC,
Title,,
QuestionText,"The power of a statistical test of hypotheses is: 
",
Points,1,
Difficulty,1,
Option,0,"the smallest significance level at which the data will allow you to reject the null hypothesis.",,
Option,0,"equal to 1 – (P-value).",,
Option,0,"the extent to which the test will reject both one-sided and two-sided hypotheses.",,
Option,100,"defined for a particular value of the parameter of interest under the alternative hypothesis and is the probability that a fixed level significance test will reject the null hypothesis when this particular alternative value of the parameter is true.",,
Hint,,,,
Feedback,,,,
NewQuestion,MC,
Title,,
QuestionText,"Which of the following will increase the value of the power in a statistical test of hypotheses? 
",
Points,1,
Difficulty,1,
Option,0,"Increase the significance level α.",,
Option,0,"Increase the sample size.",,
Option,0,"Consider computing the power for a value of the alternative that is farther from the value of the parameter of interest under the null hypothesis.",,
Option,100,"All of these",,
Hint,,,,
Feedback,,,,
NewQuestion,MC,
Title,,
QuestionText,"In multiple regression analysis, if the model provides good fit, this indicates that:
",
Points,1,
Difficulty,1,
Option,0,"the sum of squares for error will be small.",,
Option,0,"the value of the regression standard error will be small.",,
Option,0,"the squared multiple regression correlation value is will be close to 1 or −1.",,
Option,100,"all of the above choices are correct.",,
Hint,,,,
Feedback,,,,
